index,date,symbol,price
118457,2011-01-03,NWL,18.27
118458,2011-01-03,O,34.41
118459,2011-01-03,OKE,55.84
118460,2011-01-03,OMC,46.119999
118461,2011-01-03,ORCL,31.59
118462,2011-01-03,ORLY,60.990002000000004
118463,2011-01-03,OXY,98.790003
118464,2011-01-03,PAYX,31.24
118465,2011-01-03,PBCT,14.09
118466,2011-01-03,PBI,24.370001000000002
118467,2011-01-03,PCAR,58.029999
118468,2011-01-03,PCG,47.990002000000004
118469,2011-01-03,PCLN,402.25
118470,2011-01-03,PDCO,30.879998999999998
118471,2011-01-03,PEG,32.009997999999996
118472,2011-01-03,PEP,65.910004
118473,2011-01-03,PFE,17.700001
118474,2011-01-03,PFG,33.080002
118475,2011-01-03,PG,64.389999
118476,2011-01-03,PGR,20.09
118477,2011-01-03,PH,86.760002
118478,2011-01-03,PHM,7.62
118479,2011-01-03,PKI,26.02
118480,2011-01-03,PLD,31.969998999999998
118481,2011-01-03,PM,58.880001
118482,2011-01-03,PNC,61.290001000000004
118483,2011-01-03,PNR,36.830002
118484,2011-01-03,PNW,41.560001
118485,2011-01-03,PPG,84.510002
118486,2011-01-03,PPL,26.51
118487,2011-01-03,PRGO,63.75
118488,2011-01-03,PRU,59.43
118489,2011-01-03,PSA,102.190002
118490,2011-01-03,PVH,63.759997999999996
118491,2011-01-03,PWR,20.02
118492,2011-01-03,PX,95.989998
118493,2011-01-03,PXD,87.860001
118494,2011-01-03,QCOM,49.889998999999996
118495,2011-01-03,R,53.09
118496,2011-01-03,RAI,32.889998999999996
118497,2011-01-03,RCL,47.490002000000004
118498,2011-01-03,REGN,32.689999
118499,2011-01-03,RF,7.16
118500,2011-01-03,RHI,30.9
118501,2011-01-03,RHT,46.060001
118502,2011-01-03,RIG,70.099998
118503,2011-01-03,RL,112.08000200000001
118504,2011-01-03,ROK,72.410004
118505,2011-01-03,ROP,77.120003
118506,2011-01-03,ROST,64.019997
118507,2011-01-03,RRC,45.630001
118508,2011-01-03,RSG,30.030001000000002
118509,2011-01-03,RTN,46.299999
118510,2011-01-03,SBUX,32.490002000000004
118511,2011-01-03,SCG,40.939999
118512,2011-01-03,SCHW,17.23
118513,2011-01-03,SE,25.200001
118514,2011-01-03,SEE,25.68
118515,2011-01-03,SHW,83.900002
118516,2011-01-03,SIG,43.529999
118517,2011-01-03,SJM,65.970001
118518,2011-01-03,SLB,84.0
118519,2011-01-03,SLG,68.110001
118520,2011-01-03,SNA,57.119999
118521,2011-01-03,SNI,52.0
118522,2011-01-03,SO,38.369999
118523,2011-01-03,SPG,100.209992
118524,2011-01-03,SPGI,36.650002
118525,2011-01-03,SPLS,23.469998999999998
118526,2011-01-03,SRCL,81.690002
118527,2011-01-03,SRE,52.689999
118528,2011-01-03,STI,29.940001000000002
118529,2011-01-03,STT,46.93
118530,2011-01-03,STX,15.2
118531,2011-01-03,STZ,22.18
118532,2011-01-03,SWK,67.400002
118533,2011-01-03,SWKS,29.139999
118534,2011-01-03,SWN,37.810001
118535,2011-01-03,SYK,53.93
118536,2011-01-03,SYMC,16.879998999999998
118537,2011-01-03,SYY,29.530001000000002
118538,2011-01-03,T,29.68
118539,2011-01-03,TAP,50.439999
118540,2011-01-03,TDC,41.599998
118541,2011-01-03,TEL,35.529999
118542,2011-01-03,TGNA,15.27
118543,2011-01-03,TGT,60.259997999999996
118544,2011-01-03,TIF,62.279999
118545,2011-01-03,TJX,44.57
118546,2011-01-03,TMK,60.39
118547,2011-01-03,TMO,55.639998999999996
118548,2011-01-03,TROW,64.91999799999999
118549,2011-01-03,TRV,56.09
118550,2011-01-03,TSCO,49.07
118551,2011-01-03,TSN,17.209999
118552,2011-01-03,TSO,18.99
118553,2011-01-03,TSS,15.47
118554,2011-01-03,TWX,32.289997
118555,2011-01-03,TXN,32.689999
118556,2011-01-03,TXT,23.860001
118557,2011-01-03,UAA,54.98
118558,2011-01-03,UAL,24.129998999999998
118559,2011-01-03,UDR,23.77
118560,2011-01-03,UHS,43.57
118561,2011-01-03,ULTA,34.130001
118562,2011-01-03,UNH,36.380001
118563,2011-01-03,UNM,24.440001000000002
118564,2011-01-03,UNP,93.82
